dataset,task,mode,arch,num_layers,hidden_dim,seed,val_auc,val_auprc,val_precision,val_recall,val_accuracy,val_macro_f1,test_auc,test_auprc,test_precision,test_recall,test_accuracy,test_macro_f1,train_time_sec,num_params
rel-stack,user-engagement,mpnn_u,sage,1,64,0,0.7992099533151242,0.15459818377676,0.5301204819277109,0.0365752285951787,,,0.7997361506729846,0.1525400761278793,0.4900990099009901,0.0410618000829531,,,420.2,8001
rel-stack,user-engagement,mpnn_u,sage,2,64,0,0.8449184462811133,0.211668988765227,0.5054151624548736,0.0581878636741479,,,0.8393844497549527,0.1928754666122977,0.470383275261324,0.0559933637494815,,,1286.6,189633
rel-stack,user-engagement,mpnn_u,sage,3,64,0,0.7719564587139531,0.3203011254152728,0.5517241379310345,0.0020404259389147,,,0.7649786140748964,0.3019316736425119,0.618421052631579,0.0030799475753604,,,1628.1,371265
rel-stack,user-engagement,mpnn_d,sage,1,64,0,0.8035679545865753,0.1576942796716204,0.4555984555984556,0.0490440565253532,,,0.8015447787876013,0.1511313784504651,0.4405594405594406,0.0522604728328494,,,585.1,4033
rel-stack,user-engagement,mpnn_d,sage,2,64,0,0.829515096386152,0.2001696582853262,0.5384615384615384,0.0552784704904405,,,0.829080390328129,0.1881824824568425,0.4856115107913669,0.0559933637494815,,,756.2,59073
rel-stack,user-engagement,mpnn_d,sage,3,64,0,0.7671746303488698,0.3212933422216321,0.5769230769230769,0.0019128993177325,,,0.7595714266827125,0.3002974811165178,0.6258992805755396,0.0028505897771952,,,1158.8,114113
rel-stack,user-engagement,dir_gnn,sage,1,64,0,0.8358010010596887,0.2076914783641933,0.6666666666666666,0.0315876974231088,,,0.8324682181448473,0.1942317982552155,0.6532258064516129,0.0335960182496889,,,629.8,33153
rel-stack,user-engagement,dir_gnn,sage,2,64,0,0.856481514559143,0.231250952934343,0.689873417721519,0.0453034081463009,,,0.8524313131650246,0.2108035860742182,0.6024096385542169,0.0414765657403567,,,1737.2,153089
rel-stack,user-engagement,dir_gnn,sage,3,64,0,0.7711607235158792,0.3259482940639736,0.627906976744186,0.0017309911527118,,,0.7639585462297198,0.3056732987670738,0.5405405405405406,0.0019697964543663,,,3502.2,273025
rel-stack,user-engagement,mpnn_u,gat,1,64,0,0.8483323731732457,0.2185128714960098,0.465648854961832,0.0760598503740648,,,0.8455376254806908,0.198074314771542,0.4561403508771929,0.0754873496474491,,,621.9,10817
rel-stack,user-engagement,mpnn_u,gat,2,64,0,0.8517438611760476,0.2037082566396447,0.5492227979274611,0.0440565253532834,,,0.8497017950751488,0.1807094501320863,0.4147465437788018,0.037328909166321,,,2731.3,195265
