dataset,task,setting,arch,num_layers,hidden_dim,seed,val_auc,val_auprc,val_precision,val_recall,val_accuracy,val_macro_f1,test_auc,test_auprc,test_precision,test_recall,test_accuracy,test_macro_f1,train_time_sec,num_params
rel-stack,user-engagement,homo,sage,2,64,0,0.861361365902386,0.2525592991285251,0.7256637168141593,0.0340814630091438,,,0.8576025157385826,0.2428911565063511,0.7092198581560284,0.0414765657403567,,,284.9,17985
rel-stack,user-engagement,hetero,sage,2,64,0,0.8407197625280115,0.2033180810532828,0.5051194539249146,0.0615128844555278,,,0.8368558892693071,0.1908589778930677,0.476878612716763,0.0684363334715885,,,558.7,189633
rel-stack,user-engagement,homo,gat,2,64,0,0.8494253319059328,0.2274913936701626,0.6545454545454545,0.0149625935162094,,,0.8464589871874153,0.2081721845824964,0.5609756097560976,0.009539610120282,,,264.3,10049
rel-stack,user-engagement,hetero,gat,2,64,0,0.8456519216948217,0.1960760195280052,0.3909626719056974,0.0827098919368246,,,0.842657182351538,0.1751541686256252,0.3549618320610687,0.0771464122770634,,,634.0,195265
rel-stack,user-engagement,homo,hgt,2,64,0,0.8601624562368837,0.2435932829273873,0.523936170212766,0.0818786367414796,,,0.8593065138141891,0.230717906325646,0.4953051643192488,0.0875155537121526,,,820.3,38859
rel-stack,user-engagement,hetero,hgt,2,64,0,0.8616230395452725,0.2400836770268426,0.5365853658536586,0.0731504571903574,,,0.8609386175953435,0.2323056702830822,0.5078125,0.0808793031936955,,,2559.2,324735
rel-avito,user-visits,homo,sage,2,64,0,0.6320471372322833,0.9381962170189316,0.9053670406921726,0.988998006350144,,,0.6260214955652238,0.9001746773127102,0.8524709709990463,0.989033874589177,,,457.2,18433
rel-avito,user-visits,hetero,sage,2,64,0,0.6133718976661987,0.931704201920692,0.9034991160479002,1.0,,,0.6168477583675599,0.8930938735803635,0.8505909380276232,1.0,,,581.0,190529
rel-avito,user-visits,homo,gat,2,64,0,0.619154926866963,0.9337100732409594,0.9264082687338502,0.6618179133131507,,,0.6127594160512869,0.8916887144774657,0.8944669504127993,0.5676027464124175,,,572.4,10497
rel-avito,user-visits,hetero,gat,2,64,0,0.6081807918902495,0.9290100758921488,0.9034991160479002,1.0,,,0.6125857455138843,0.8884710787397236,0.8505909380276232,1.0,,,323.7,196161
rel-avito,user-visits,homo,hgt,2,64,0,0.6165692132080279,0.9344117993615376,0.9108453485339592,0.9026065125895296,,,0.6045895644270944,0.8941323529898884,0.8558801865946477,0.9074875532849566,,,435.0,39307
rel-avito,user-visits,hetero,hgt,2,64,0,0.6262603561076052,0.935092059441148,0.9112192946597792,0.9052647123975486,,,0.6174403432556169,0.8987404651533578,0.8558555797345757,0.908659008818457,,,1367.8,358465
rel-stack,user-engagement,homo,sage,2,128,0,0.8606491379729467,0.2567701419865838,0.5427350427350427,0.1055694098088113,,,0.8575162735501773,0.2339867357686659,0.4661654135338345,0.1028618830360846,,,565.6,68737
rel-stack,user-engagement,homo,gat,2,128,0,0.8607805789115124,0.2404599176121666,0.7125,0.0236907730673316,,,0.8584891459137802,0.2290572564793599,0.6095238095238096,0.0265450020738282,,,1547.8,36481
rel-stack,user-engagement,homo,hgt,2,128,0,0.8609831462334028,0.2383226854762043,0.7043478260869566,0.0336658354114713,,,0.860311338122377,0.2241127420507258,0.6301369863013698,0.0381584404811281,,,1123.7,151435
rel-avito,user-visits,homo,sage,2,128,0,0.6308223127374575,0.9381483820223064,0.9051884400878824,0.9887026508159196,,,0.6255927310728412,0.8998904171185065,0.8522800617370563,0.9882854446649962,,,202.2,69633
rel-avito,user-visits,homo,gat,2,128,0,0.6197883639261041,0.934434900676109,0.925106342302729,0.7146127150557483,,,0.6131282447822671,0.8902603043140228,0.892037659081232,0.613549835670821,,,245.7,37377
rel-avito,user-visits,homo,hgt,2,128,0,0.6182226248209574,0.9326014792099222,0.910997290576402,0.9061876984419996,,,0.6142169145162866,0.894029010020683,0.8559355767169846,0.9096352217630406,,,188.9,152331
rel-stack,user-engagement,homo_noenc,sage,2,64,0,0.8214052014379591,0.1584788002480291,0.4285714285714285,0.0249376558603491,,,0.8202468073867594,0.1592094268981923,0.4331210191082802,0.0282040647034425,,,428.5,8769
rel-stack,user-engagement,hybrid,sage,2,64,0,0.8625912063645454,0.2446411205557279,0.5608108108108109,0.0689941812136325,,,0.8585531586640576,0.2306814803469518,0.5157593123209169,0.074657818332642,,,662.9,191361
rel-stack,user-engagement,homo_noenc,gat,2,64,0,0.8379217934536861,0.1833622626003815,0.4464285714285714,0.0103906899418121,,,0.8380163631888324,0.1820962091399982,0.5076923076923077,0.0136872666943177,,,759.6,4737
rel-stack,user-engagement,hybrid,gat,2,64,0,0.8591454618069084,0.2500016618535681,0.5934579439252337,0.0527847049044056,,,0.8573566154309525,0.2257945658168962,0.4907749077490775,0.0551638324346744,,,1393.8,190209
rel-stack,user-engagement,homo_noenc,hgt,2,64,0,0.8545606263892888,0.2234909314560434,0.717948717948718,0.0116375727348295,,,0.8506416123682785,0.201795127985921,0.675,0.0111986727498963,,,1433.3,25739
rel-stack,user-engagement,hybrid,hgt,2,64,0,0.8622859192022422,0.2542908551943819,0.5149572649572649,0.100166251039069,,,0.8589064105383822,0.2334790925642982,0.4475524475524475,0.1061800082953131,,,2986.6,181797
rel-avito,user-visits,homo_noenc,sage,2,64,0,0.5713510581025234,0.9178075218757954,0.9037076732424556,0.9961603780550838,,,0.5823235692226065,0.8740730707592904,0.8509567248859717,0.9956395821808596,,,64.4,8897
rel-avito,user-visits,hybrid,sage,2,64,0,0.613167558191,0.9327999013189426,0.9034991160479002,1.0,,,0.6175238042178113,0.8952404611308198,0.8505909380276232,1.0,,,99.9,191809
rel-avito,user-visits,homo_noenc,gat,2,64,0,0.5923589861729863,0.9246038780280088,0.9085477941176472,0.8758768367422285,,,0.5927594115903905,0.8809974692180869,0.853783775321707,0.8873450261950473,,,169.4,4801
rel-avito,user-visits,hybrid,gat,2,64,0,0.6170668280691587,0.9331841254107576,0.9034991160479002,1.0,,,0.6187779822542884,0.8937882101592489,0.8505909380276232,1.0,,,134.4,190657
rel-avito,user-visits,homo_noenc,hgt,2,64,0,0.5927987843970706,0.9243196608858916,0.9034906227057332,0.9995569666986636,,,0.6045878493932378,0.8846301194588229,0.8506326310252221,0.9997722169795972,,,152.5,25931
rel-avito,user-visits,hybrid,hgt,2,64,0,0.6228884740106144,0.9360306244276227,0.9108237404694274,0.8997267961308425,,,0.6119681615207192,0.8970374348860923,0.8556310948411111,0.9050795613549836,,,747.0,198886
rel-stack,user-engagement,homo,sage,3,64,0,0.7716482709457345,0.3215602903974005,0.6331360946745562,0.0034243287355586,,,0.7675793947386218,0.305933784450533,0.531578947368421,0.0033013009086749,,,859.5,26241
rel-stack,user-engagement,hetero,sage,3,64,0,0.7682038458847947,0.3179352870736692,0.512396694214876,0.0019753401089623,,,0.7577853244392535,0.2951367122516982,0.5170068027210885,0.00249196668634,,,977.3,371265
rel-stack,user-engagement,homo_noenc,sage,2,64,0,0.8160041452449226,0.157441392267933,0.5909090909090909,0.0162094763092269,,,0.8182694856810051,0.1561458367808805,0.5263157894736842,0.0207382828701783,,,598.9,8769
rel-stack,user-engagement,homo_noenc,sage,3,64,0,0.7602941510826302,0.3059762577920806,0.0,0.0,,,0.7506914867923253,0.2843066497014486,0.0,0.0,,,411.3,17025
rel-stack,user-engagement,hybrid,sage,3,64,0,0.7708608696966721,0.3203422404286598,0.6217948717948718,0.0031001310364664,,,0.7620157250324773,0.298086198378503,0.5180722891566265,0.0028187479514913,,,808.5,199617
rel-stack,user-engagement,homo,gat,3,64,0,0.7544357607895705,0.3008779815695453,0.0,0.0,,,0.7541844299021663,0.2890092674782928,0.0,0.0,,,451.2,14337
rel-stack,user-engagement,hetero,gat,3,64,0,0.7575144380920457,0.3039313538403176,0.6458333333333334,0.0009913338236704,,,0.7560443531267007,0.2918228462735034,0.6363636363636364,0.0013745704467353,,,1956.2,379713
rel-stack,user-engagement,homo_noenc,gat,3,64,0,0.7542777458560783,0.3009883763670815,0.8125,0.0004146598194634,,,0.7528967232758689,0.2877887080759687,0.8823529411764706,0.0004922067268252,,,680.0,9025
rel-stack,user-engagement,hybrid,gat,3,64,0,0.7566007091402704,0.3023720207097088,0.7115384615384616,0.0011815801239062,,,0.755868777842127,0.2898591883028484,0.5614035087719298,0.0010496621399986,,,1291.4,194497
rel-stack,user-engagement,homo,hgt,3,64,0,0.7637808262529798,0.3136030363752058,0.0,0.0,,,0.7508579032760965,0.2799378345512567,0.0,0.0,,,632.1,57552
rel-stack,user-engagement,hetero,hgt,3,64,0,0.7656279929524077,0.3109782722461386,0.5613207547169812,0.0038021598824206,,,0.7546523940932122,0.2883180139033412,0.5263157894736842,0.0039301739101955,,,7060.6,486366
rel-stack,user-engagement,homo_noenc,hgt,3,64,0,0.7538875169858934,0.299829603326314,0.68,0.0005424723977279,,,0.7532134213226951,0.2877835862002951,0.64,0.0005240746806419,,,740.9,44432
rel-stack,user-engagement,hybrid,hgt,3,64,0,0.7639361565812264,0.3082451630025245,0.7435897435897436,0.0009249513603163,,,0.7547184360731377,0.2870461610355058,0.5909090909090909,0.0008538307444747,,,1553.5,200490
rel-avito,user-visits,homo,sage,3,64,0,0.6348049480678855,0.9393581942606022,0.910351028359495,0.8971424352063797,,,0.6285102568488958,0.9017561832528018,0.8646378816322497,0.8542839478051479,,,928.7,26689
rel-avito,user-visits,hetero,sage,3,64,0,0.6273565878768601,0.936397594612924,0.9087248817966904,0.9082551871815698,,,0.6241812853359517,0.8992289492960563,0.8645255571423827,0.8470274315837428,,,908.5,372161
rel-avito,user-visits,homo_noenc,sage,3,64,0,0.5931450078521132,0.925558694595547,0.9142833929151772,0.8309089566565754,,,0.5998360331181296,0.8842543921365893,0.8792234089014174,0.7206078552601608,,,557.0,17153
rel-avito,user-visits,hybrid,sage,3,64,0,0.6382283425488157,0.9394066622277994,0.9157268812794752,0.8244111349036403,,,0.633100049143406,0.902758721987502,0.8810585070071879,0.713969607236992,,,758.7,200065
rel-avito,user-visits,homo,gat,3,64,0,0.6264258172283701,0.9336015772652548,0.9097244219195438,0.954293731078786,,,0.6198354196845788,0.8924111086185436,0.8554483723370151,0.9551592854121246,,,514.9,14785
rel-avito,user-visits,hetero,gat,3,64,0,0.6198088144637637,0.9325964270555128,0.9035983710528072,0.9994092889315512,,,0.6184672928696344,0.8920766891683785,0.8506912697753027,0.9991214083498748,,,510.2,380609
rel-avito,user-visits,homo_noenc,gat,3,64,0,0.6079873444798823,0.9269374814050866,0.9049368155012636,0.9914346895074948,,,0.6133149785125246,0.8869061032111856,0.8522164732205286,0.9915394878136083,,,292.5,9089
rel-avito,user-visits,hybrid,gat,3,64,0,0.6358710751143078,0.936417955379188,0.9106022473503244,0.9484235398360776,,,0.6267507104791488,0.8956979215764094,0.8562819683696866,0.9478702287592332,,,1053.7,194945
rel-avito,user-visits,homo,hgt,3,64,0,0.6317106891980503,0.9370550941934812,0.9109579100145138,0.9268995052794802,,,0.6216631544742509,0.8988231802356499,0.8557031882666987,0.9283785102990466,,,1124.6,58000
rel-avito,user-visits,hetero,hgt,3,64,0,0.6381763898880903,0.939960773302726,0.9107000072690268,0.9250904526323562,,,0.6223299952042951,0.9001286919752325,0.855798621516332,0.929289642380658,,,1375.5,536737
rel-avito,user-visits,homo_noenc,hgt,3,64,0,0.6071529753050154,0.9282280129996134,0.909353036583168,0.9314775160599572,,,0.6039638935519658,0.8877796158635263,0.854111959894963,0.931404770427256,,,438.7,44624
rel-avito,user-visits,hybrid,hgt,3,64,0,0.6355963041150259,0.9371169217738908,0.9084985347353904,0.9728642102931404,,,0.6286361113984237,0.900150880019815,0.8546058661778185,0.9708763138199212,,,627.9,217579
rel-stack,user-engagement,homo,sage,3,128,0,0.7760569139793698,0.3385105319605712,0.6172839506172839,0.0031964200095892,,,0.7729926062072516,0.3214903580152315,0.5355191256830601,0.0032118510749868,,,2183.5,101633
rel-stack,user-engagement,homo,gat,3,128,0,0.7565356934266256,0.3007473956620999,0.5,0.0052636615944109,,,0.7544589941607898,0.2864741815869817,0.4709141274238227,0.0055693880225396,,,564.4,53249
rel-stack,user-engagement,homo,hgt,3,128,0,0.7660520124084907,0.3114575077712579,0.6914893617021277,0.0020745563641006,,,0.7552009991446615,0.2888127744812694,0.6132075471698113,0.0021278685304612,,,1269.5,225680
rel-avito,user-visits,homo,sage,3,128,0,0.6373076408389925,0.9393416494302642,0.9159929412730332,0.8240419404858599,,,0.6305767761942547,0.9024883062057484,0.8810145917916148,0.713188636881325,,,696.3,102529
rel-avito,user-visits,homo,gat,3,128,0,0.6368219134510786,0.9373440041454708,0.9091289344348008,0.9629328804548476,,,0.6247661510645948,0.8952401842114466,0.854738911698375,0.961960235592724,,,676.2,54145
rel-avito,user-visits,homo,hgt,3,128,0,0.6361236663729021,0.9385752018494676,0.9113094356391646,0.9085505427157942,,,0.6237281908729359,0.8990113716529295,0.855834122209668,0.9119781328300414,,,567.0,226576
rel-stack,post-votes,homo,sage,2,64,0,0.6456253532931739,0.137913340716919,0.6764705882352942,0.0030312615319732,,,0.6415778120587048,0.1478887049748086,0.6871165644171779,0.0025747126436781,,,2550.6,17985
