dataset,task,model,feat_mode,num_layers,hidden_dim,seed,val_auc,val_auprc,val_precision,val_recall,test_auc,test_auprc,test_precision,test_recall,train_time_sec,num_params,encoder_params
rel-f1,driver-dnf,hgt,id,2,64,0,0.23931623931623933,0.8645399374756433,0.9285714285714286,1.0,0.4264705882352941,0.7781708444734845,0.8095238095238095,1.0,16.5,5252731,4740032
rel-f1,driver-dnf,hgt,id,2,64,1,0.7008547008547008,0.9747039617540468,0.926829268292683,0.9743589743589743,0.40441176470588236,0.7930983351242084,0.8292682926829268,1.0,9.7,5252731,4740032
rel-f1,driver-dnf,hgt,column,2,64,0,0.4017094017094018,0.9248395493984866,0.9130434782608695,0.5384615384615384,0.5294117647058824,0.8283862065798413,0.8076923076923077,0.6176470588235294,34.1,515771,3072
rel-f1,driver-dnf,hgt,column,2,64,1,0.5128205128205128,0.9483372780172485,0.9285714285714286,1.0,0.5330882352941176,0.8580355263514295,0.8095238095238095,1.0,32.0,515771,3072
rel-f1,driver-dnf,hgt,llm,2,64,0,0.5982905982905983,0.9560996641411347,0.9285714285714286,1.0,0.463235294117647,0.8166622916207864,0.8095238095238095,1.0,68.2,734459,221760
rel-f1,driver-dnf,hgt,llm,2,64,1,0.6581196581196581,0.9674343876775875,0.9285714285714286,1.0,0.5367647058823529,0.8554862195707447,0.8095238095238095,1.0,55.8,734459,221760
rel-event,user-repeat,hgt,id,2,64,0,0.6334144363341445,0.6053608834525499,0.5772357723577236,0.5634920634920635,0.592379679144385,0.5165061269688576,0.52,0.4727272727272727,19.7,15136963,14855744
rel-event,user-repeat,hgt,id,2,64,1,0.6194241686942418,0.5994805781371517,0.5555555555555556,0.5952380952380952,0.6238636363636365,0.5536857832593933,0.5206611570247934,0.5727272727272728,27.2,15136963,14855744
rel-event,user-repeat,hgt,column,2,64,0,0.614963503649635,0.5934444906451691,0.5945945945945946,0.3492063492063492,0.6810494652406417,0.6478519103420308,0.631578947368421,0.43636363636363634,8.0,289091,7872
rel-event,user-repeat,hgt,column,2,64,1,0.6291565287915653,0.6045421988772659,0.6744186046511628,0.23015873015873015,0.6771724598930481,0.6052253452408844,0.6666666666666666,0.2909090909090909,7.4,289091,7872
rel-event,user-repeat,hgt,llm,2,64,0,0.6383675124551037,0.6069109539205761,0.0,0.0,0.6804478609625668,0.6045159902036152,0.0,0.0,7.9,404419,123200
rel-event,user-repeat,hgt,llm,2,64,1,0.6269551616266944,0.598111820811779,0.0,0.0,0.6597259358288771,0.5727731027154602,0.0,0.0,7.5,404419,123200
