dataset,task,model,mitigation,num_layers,hidden_dim,seed,val_auc,val_auprc,val_precision,val_recall,test_auc,test_auprc,test_precision,test_recall,mad,cos_sim,train_time_sec,num_params
rel-f1,driver-dnf,sage,none,1,64,0,0.7777777777777778,0.9799530805345059,0.9629629629629629,0.6666666666666666,0.3161764705882353,0.7675405068517688,0.75,0.7058823529411765,0.507008969783783,0.49299103021621704,1.0,217793
rel-f1,driver-dnf,sage,none,2,64,0,0.6153846153846154,0.9531646007478811,0.9444444444444444,0.8717948717948718,0.5845588235294117,0.8781765407300501,0.8148148148148148,0.6470588235294118,0.5035170912742615,0.4964829385280609,6.5,432449
rel-f1,driver-dnf,sage,none,4,64,0,0.641025641025641,0.9551646705780603,0.9375,0.7692307692307693,0.5955882352941176,0.8736084036952807,0.8518518518518519,0.6764705882352942,0.5809442400932312,0.4190557599067688,51.0,861761
rel-f1,driver-dnf,sage,none,8,64,0,0.6495726495726496,0.9610216861911735,0.9393939393939394,0.7948717948717948,0.5698529411764706,0.8542368321404444,0.84,0.6176470588235294,0.5412346720695496,0.45876532793045044,73.8,1720385
rel-f1,driver-dnf,sage,none,16,64,0,0.4188034188034188,0.9303766187669964,0.9285714285714286,1.0,0.5220588235294118,0.8550682182134187,0.8095238095238095,1.0,0.19368383288383484,0.806316077709198,109.4,3437633
rel-f1,driver-dnf,sage,residual,1,64,0,0.7606837606837608,0.9800873667862258,0.9285714285714286,1.0,0.31985294117647056,0.7627109370285615,0.8095238095238095,1.0,0.4569476842880249,0.5430523157119751,1.4,217793
rel-f1,driver-dnf,sage,residual,2,64,0,0.5555555555555556,0.9548744227896874,0.92,0.5897435897435898,0.4154411764705882,0.8121674478353049,0.7647058823529411,0.7647058823529411,0.44000840187072754,0.5599915981292725,2.9,432449
rel-f1,driver-dnf,sage,residual,4,64,0,0.7521367521367521,0.9797530809008647,0.9354838709677419,0.7435897435897436,0.5330882352941176,0.826073022099391,0.8695652173913043,0.5882352941176471,0.45927658677101135,0.540723443031311,22.3,861761
rel-f1,driver-dnf,sage,residual,8,64,0,0.5299145299145299,0.9326899978804313,0.9285714285714286,1.0,0.5294117647058824,0.8216107014486624,0.8095238095238095,1.0,0.2032923847436905,0.7967076301574707,20.5,1720385
rel-f1,driver-dnf,sage,residual,16,64,0,0.5,0.9285714285714286,0.9285714285714286,1.0,0.5,0.8095238095238095,0.8095238095238095,1.0,0.1462801694869995,0.8537198305130005,44.3,3437633
rel-f1,driver-dnf,sage,dropedge,1,64,0,0.7606837606837606,0.9786212350841954,0.9642857142857143,0.6923076923076923,0.3125,0.7585084919449232,0.7419354838709677,0.6764705882352942,0.509768009185791,0.4902319610118866,1.2,217793
rel-f1,driver-dnf,sage,dropedge,2,64,0,0.7777777777777778,0.9816915350570607,0.9230769230769231,0.9230769230769231,0.625,0.8828142971593202,0.8275862068965517,0.7058823529411765,0.4599403142929077,0.5400596261024475,5.8,432449
rel-f1,driver-dnf,sage,dropedge,4,64,0,0.7606837606837606,0.9806372541988311,0.9210526315789473,0.8974358974358975,0.5588235294117647,0.8461962756889947,0.8064516129032258,0.7352941176470589,0.526233434677124,0.473766565322876,18.5,861761
